what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1584042230457
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584042230457
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584042230457
java.specification.name,sysinfo,,,"Java Platform API Specification",1584042230457
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584042230457
java.specification.version,sysinfo,,,"1.6",1584042230457
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584042230457
java.version,sysinfo,,,"1.6.0_23",1584042230457
java.vm.info,sysinfo,,,"mixed mode",1584042230457
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584042230457
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584042230457
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584042230457
java.vm.specification.version,sysinfo,,,"1.0",1584042230457
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584042230457
java.vm.version,sysinfo,,,"19.0-b09",1584042230457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584042230927
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1584042231118
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1584042231163
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584042232043
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1584042232764
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1584042232826
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1584042232831
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1584042237252
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1584042237254
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1584042237255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042239239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042284132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042293262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042461334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042470624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584042472922
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1584042473907
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1584042473915
opened,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1584042476874
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1584042477212
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1584042477222
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042498725
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042498796
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1584042499298
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584042504423
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042505472
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042516236
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042516290
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584042519821
