what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1586442604516
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1586442604516
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1586442604516
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1586442604516
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1586442604516
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1586442604516
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1586442604516
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1586442604516
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1586442604516
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1586442604516
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1586442604516
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1586442604516
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1586442604516
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1586442604516
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1586442604516
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1586442604516
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1586442604516
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1586442604516
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1586442604516
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1586442604516
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1586442604516
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1586442604516
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586442604516
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1586442604516
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586442604516
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1586442604516
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1586442604516
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1586442604516
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1586442604516
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1586442604516
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1586442604516
os,sysinfo,,,"win32",1586442604520
arch,sysinfo,,,"x86",1586442604520
ws,sysinfo,,,"win32",1586442604520
locale,sysinfo,,,"es_CO",1586442604520
processors,sysinfo,,,"12",1586442604520
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586442604520
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1586442604520
java.specification.name,sysinfo,,,"Java Platform API Specification",1586442604520
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586442604520
java.specification.version,sysinfo,,,"1.6",1586442604520
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1586442604520
java.version,sysinfo,,,"1.6.0_23",1586442604520
java.vm.info,sysinfo,,,"mixed mode",1586442604520
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1586442604520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586442604520
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586442604520
java.vm.specification.version,sysinfo,,,"1.0",1586442604520
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1586442604520
java.vm.version,sysinfo,,,"19.0-b09",1586442604520
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586442604708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586442606482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586442644335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1586442644375
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1586442648613
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1586442648621
