what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968458831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968461808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968462619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968471540
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968471550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968473077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968474524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968477985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968481460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968482744
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1583968482894
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1583968483325
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1583968483330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968484941
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1583968486450
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1583968486461
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968486604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968595256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1583968595276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968597038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968605978
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968608208
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968616562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968616624
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1583968617061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968621602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968639771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1583968639823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968643619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968646216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968654416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968658478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968666514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968670346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968675796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968682211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968695454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968712217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968716617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968718923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968721068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968751848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968753859
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968754244
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968754303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1583968757036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968758505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968817127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1583968822316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1583968827677
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968828901
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968851325
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968851652
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968851706
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1583968851722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1583968865822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1583968866302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583968872325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1583968883778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968884876
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968889243
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968889466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1583968919053
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968919922
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968927934
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968928155
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968928212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1583968971844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583968972791
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583968979993
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583968980208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583968997374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1583968997402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969004379
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583969015927
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583969022398
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969023705
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583969025114
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969025340
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969086231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969098089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969101064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1583969108094
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583969108803
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583969119801
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969120057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969120114
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583969125193
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969126716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969126776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969141541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1583969141567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969166800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969167992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969169835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969170404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583969209516
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583969213545
