what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"es_CO",1583785846166
processors,sysinfo,,,"12",1583785846166
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1583785846166
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1583785846166
java.specification.name,sysinfo,,,"Java Platform API Specification",1583785846166
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583785846166
java.specification.version,sysinfo,,,"1.6",1583785846166
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1583785846166
java.version,sysinfo,,,"1.6.0_23",1583785846166
java.vm.info,sysinfo,,,"mixed mode",1583785846166
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1583785846166
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1583785846166
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583785846166
java.vm.specification.version,sysinfo,,,"1.0",1583785846166
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1583785846166
java.vm.version,sysinfo,,,"19.0-b09",1583785846166
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583785849078
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1583785849131
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583785849133
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1583785849141
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583785849785
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583785851150
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583785851896
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583785851970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1583785852878
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1583785852889
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1583785853618
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1583785853621
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1583785853622
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1583785853623
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583785853698
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583785853698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785853729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785857443
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1583785861754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785864115
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1583785892998
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1583785893000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785895720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1583785895731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1583785895731
error,log,,,"Core exception while retrieving the content description",1583785898300
error,log,,,"Core exception while retrieving the content description",1583785898302
error,log,,,"Core exception while retrieving the content description",1583785898302
error,log,,,"Core exception while retrieving the content description",1583785898310
error,log,,,"Core exception while retrieving the content description",1583785898312
error,log,,,"Core exception while retrieving the content description",1583785898313
error,log,,,"Core exception while retrieving the content description",1583785898314
error,log,,,"Core exception while retrieving the content description",1583785898315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785905645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583785929351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1583785929366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1583785929366
error,log,,,"Core exception while retrieving the content description",1583785931968
error,log,,,"Core exception while retrieving the content description",1583785931969
error,log,,,"Core exception while retrieving the content description",1583785931970
error,log,,,"Core exception while retrieving the content description",1583785931971
error,log,,,"Core exception while retrieving the content description",1583785931972
error,log,,,"Core exception while retrieving the content description",1583785931973
